merged_pdf_id,merged_pdf_path,left_page,right_page,left_image_path,right_image_path,label,same_document,left_source_doc_index,right_source_doc_index
merged_00001,data/synthetic/merged_pdfs/merged_00001.pdf,1,2,data/synthetic/page_images/merged_00001/page_0001.png,data/synthetic/page_images/merged_00001/page_0002.png,NEW_DOCUMENT,0,1,2
merged_00003,data/synthetic/merged_pdfs/merged_00003.pdf,1,2,data/synthetic/page_images/merged_00003/page_0001.png,data/synthetic/page_images/merged_00003/page_0002.png,SAME_DOCUMENT,1,1,1
merged_00003,data/synthetic/merged_pdfs/merged_00003.pdf,2,3,data/synthetic/page_images/merged_00003/page_0002.png,data/synthetic/page_images/merged_00003/page_0003.png,NEW_DOCUMENT,0,1,2
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,1,2,data/synthetic/page_images/merged_00004/page_0001.png,data/synthetic/page_images/merged_00004/page_0002.png,SAME_DOCUMENT,1,1,1
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,2,3,data/synthetic/page_images/merged_00004/page_0002.png,data/synthetic/page_images/merged_00004/page_0003.png,SAME_DOCUMENT,1,1,1
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,3,4,data/synthetic/page_images/merged_00004/page_0003.png,data/synthetic/page_images/merged_00004/page_0004.png,SAME_DOCUMENT,1,1,1
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,4,5,data/synthetic/page_images/merged_00004/page_0004.png,data/synthetic/page_images/merged_00004/page_0005.png,NEW_DOCUMENT,0,1,2
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,5,6,data/synthetic/page_images/merged_00004/page_0005.png,data/synthetic/page_images/merged_00004/page_0006.png,SAME_DOCUMENT,1,2,2
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,6,7,data/synthetic/page_images/merged_00004/page_0006.png,data/synthetic/page_images/merged_00004/page_0007.png,SAME_DOCUMENT,1,2,2
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,7,8,data/synthetic/page_images/merged_00004/page_0007.png,data/synthetic/page_images/merged_00004/page_0008.png,SAME_DOCUMENT,1,2,2
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,8,9,data/synthetic/page_images/merged_00004/page_0008.png,data/synthetic/page_images/merged_00004/page_0009.png,SAME_DOCUMENT,1,2,2
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,9,10,data/synthetic/page_images/merged_00004/page_0009.png,data/synthetic/page_images/merged_00004/page_0010.png,SAME_DOCUMENT,1,2,2
merged_00005,data/synthetic/merged_pdfs/merged_00005.pdf,1,2,data/synthetic/page_images/merged_00005/page_0001.png,data/synthetic/page_images/merged_00005/page_0002.png,NEW_DOCUMENT,0,1,2
merged_00005,data/synthetic/merged_pdfs/merged_00005.pdf,2,3,data/synthetic/page_images/merged_00005/page_0002.png,data/synthetic/page_images/merged_00005/page_0003.png,SAME_DOCUMENT,1,2,2
